home_team,away_team,posteam,side_of_field,yardline_100,half_seconds_remaining,game_seconds_remaining,game_half,down,ydstogo,ydsnet,yards_gained,score_differential,fourth_down_converted,fourth_down_failed,field_goal_attempt,punt_attempt,penalty
SEA,CHI,SEA,CHI,29,30,30,Half2,4,2,51,0,-6,0,1,0,0,0
CIN,PIT,PIT,CIN,35,75,1875,Half1,4,4,51,0,13,0,1,0,0,0
CIN,PIT,CIN,CIN,62,992,992,Half2,4,3,35,21,-11,1,0,0,0,0
CIN,PIT,CIN,PIT,20,60,60,Half2,4,2,56,5,-5,1,0,0,0,0
CIN,PIT,CIN,PIT,15,36,36,Half2,4,10,67,11,-5,1,0,0,0,0
SD,MIA,MIA,MIA,59,244,244,Half2,4,4,29,12,-16,1,0,0,0,0
SD,MIA,SD,MIA,4,35,35,Half2,4,4,34,2,9,0,1,0,0,0
OAK,DEN,DEN,OAK,1,1216,3016,Half1,4,1,68,0,0,0,1,0,0,0
OAK,DEN,OAK,OAK,51,1402,1402,Half2,4,1,20,1,-17,1,0,0,0,1
OAK,DEN,OAK,OAK,56,209,209,Half2,4,5,20,0,-20,0,1,0,0,0
OAK,DEN,DEN,OAK,35,112,112,Half2,4,1,26,17,20,1,0,0,0,0
ARI,IND,ARI,IND,27,428,428,Half2,4,1,36,10,-21,1,0,0,0,0
ARI,IND,ARI,IND,22,390,390,Half2,4,15,3,-28,-21,0,1,0,0,0
ARI,IND,IND,ARI,32,199,199,Half2,4,8,35,17,21,1,0,0,0,0
ARI,IND,IND,ARI,18,31,31,Half2,4,13,28,-4,21,0,1,0,0,0
DAL,CAR,CAR,DAL,40,120,120,Half2,4,6,47,7,-12,1,0,0,0,0
CHI,DET,CHI,DET,1,659,2459,Half1,4,1,8,1,0,1,0,0,0,0
CHI,DET,DET,DET,52,317,317,Half2,4,6,24,0,-17,0,1,0,0,0
CLE,CIN,CIN,CLE,35,1139,2939,Half1,4,3,37,10,0,1,0,0,0,0
CLE,CIN,CLE,CIN,1,1004,1004,Half2,4,1,77,1,-6,1,0,0,0,0
CLE,CIN,CIN,CLE,2,122,122,Half2,4,2,70,2,-7,1,0,0,0,0
CLE,CIN,CIN,CLE,41,64,64,Overtime,4,11,67,15,-1,1,0,0,0,0
HOU,OAK,OAK,HOU,35,231,2031,Half1,4,9,63,19,-17,1,0,0,0,0
HOU,OAK,OAK,HOU,35,766,766,Half2,4,7,18,0,-23,0,1,0,0,0
IND,SEA,SEA,IND,26,226,226,Half2,4,2,56,12,-31,1,0,0,0,0
JAC,TEN,TEN,JAC,10,337,337,Half2,4,5,77,10,-21,1,0,0,0,0
JAC,TEN,TEN,TEN,58,231,231,Half2,4,3,22,0,-20,0,1,0,0,0
KC,NYG,NYG,KC,35,1711,1711,Half2,4,3,16,9,14,1,0,0,0,0
KC,NYG,KC,NYG,30,722,722,Half2,4,11,30,12,-24,1,0,0,0,0
KC,NYG,KC,NYG,19,648,648,Half2,4,11,40,11,-24,1,0,0,0,0
KC,NYG,KC,NYG,2,301,301,Half2,4,2,59,2,-18,1,0,0,0,0
KC,NYG,KC,KC,85,156,156,Half2,4,27,5,10,-11,0,1,0,0,0
KC,NYG,NYG,KC,21,22,22,Half2,4,6,7,3,11,0,1,0,0,0
NE,BAL,NE,BAL,3,927,2727,Half1,4,1,75,2,-4,1,0,0,0,0
NE,BAL,BAL,BAL,55,317,317,Half2,4,1,9,0,-7,0,1,0,0,0
NE,BAL,BAL,NE,14,32,32,Half2,4,4,66,0,-7,0,1,0,0,0
WAS,TB,WAS,TB,37,967,2767,Half1,4,4,23,0,-7,0,1,0,0,0
WAS,TB,WAS,TB,36,1270,1270,Half2,4,2,45,12,-7,1,0,0,0,0
MIA,BUF,MIA,BUF,1,269,2069,Half1,4,1,66,1,6,1,0,0,0,0
MIA,BUF,MIA,BUF,8,1183,1183,Half2,4,1,20,1,20,1,0,0,0,0
MIA,BUF,BUF,MIA,3,895,895,Half2,4,2,80,3,-27,1,0,0,0,0
MIA,BUF,BUF,MIA,20,123,123,Half2,4,12,38,0,-27,0,1,0,0,0
NO,NYJ,NO,NYJ,1,592,2392,Half1,4,1,64,0,9,0,1,0,0,0
NO,NYJ,NYJ,NO,30,203,2003,Half1,4,1,54,4,-15,1,0,0,0,0
NO,NYJ,NO,NYJ,28,1132,1132,Half2,4,1,52,0,5,0,1,0,0,0
DEN,DAL,DEN,DAL,30,903,903,Half2,4,1,62,0,-3,0,1,0,0,0
DEN,DAL,DAL,DAL,73,76,76,Half2,4,3,60,53,-7,1,0,0,0,0
DEN,DAL,DAL,DEN,2,5,5,Half2,4,2,78,0,-7,0,1,0,0,0
SF,STL,STL,SF,22,512,512,Half2,4,4,47,0,-32,0,1,0,0,0
PIT,SD,PIT,PIT,70,383,2183,Half1,4,1,12,3,14,1,0,0,0,0
MIN,GB,MIN,GB,10,1185,2985,Half1,4,1,59,2,0,1,0,0,0,0
MIN,GB,GB,MIN,36,788,2588,Half1,4,3,27,4,0,1,0,0,0,0
MIN,GB,GB,MIN,1,1038,1038,Half2,4,1,81,0,-15,0,1,0,0,0
STL,MIN,STL,MIN,15,788,2588,Half1,4,1,80,1,-13,1,0,0,0,0
STL,MIN,STL,MIN,9,896,896,Half2,4,6,72,0,-20,0,1,0,0,0
PHI,TB,TB,PHI,26,1258,3058,Half1,4,2,8,0,-7,0,1,0,0,0
PHI,TB,TB,PHI,23,456,2256,Half1,4,1,56,0,-7,0,1,0,0,0
PHI,TB,TB,PHI,9,442,442,Half2,4,9,74,9,-24,1,0,0,0,0
KC,DAL,KC,DAL,16,29,29,Half2,4,7,74,16,-7,1,0,0,0,0
DET,PIT,DET,PIT,45,78,78,Half2,4,34,26,0,-9,0,1,0,0,0
CAR,WAS,CAR,WAS,1,552,2352,Half1,4,1,57,0,-7,0,1,0,0,0
CAR,WAS,WAS,CAR,37,1052,1052,Half2,4,3,43,0,8,0,1,0,0,0
BUF,CLE,BUF,CLE,38,926,2726,Half1,4,6,15,0,0,0,1,0,0,0
BUF,CLE,BUF,CLE,31,102,1902,Half1,4,24,49,0,-3,0,1,0,0,0
NYG,OAK,NYG,OAK,1,1326,3126,Half1,4,1,77,1,0,1,0,0,0,0
NYG,OAK,OAK,OAK,52,341,2141,Half1,4,2,32,3,-28,1,0,0,0,0
BAL,CIN,BAL,CIN,49,6,1806,Half1,4,2,35,0,3,0,1,0,0,0
BAL,CIN,CIN,CIN,66,107,107,Half2,4,1,20,6,-3,1,0,0,0,0
SF,ATL,SF,ATL,41,766,2566,Half1,4,1,39,18,-7,1,0,0,0,0
SF,ATL,SF,ATL,18,120,120,Half2,4,17,60,0,-35,0,1,0,0,0
SEA,JAC,JAC,SEA,2,1058,2858,Half1,4,1,68,0,-3,0,1,0,0,0
SEA,JAC,JAC,SEA,46,1635,1635,Half2,4,1,39,4,-20,1,0,0,0,0
SEA,JAC,SEA,JAC,33,257,257,Half2,4,1,43,2,40,1,0,0,0,0
ARI,HOU,HOU,ARI,22,1561,1561,Half2,4,1,9,0,-21,0,1,0,0,0
ARI,HOU,HOU,ARI,1,47,47,Half2,4,1,39,0,-6,0,1,0,0,0
TEN,IND,IND,TEN,3,1353,3153,Half1,4,1,23,3,0,1,0,0,0,0
TEN,IND,TEN,IND,32,1246,1246,Half2,4,5,45,0,-19,0,1,0,0,0
